SMILES,logBCF
O=C(OC1CCCCC1)c1ccccc1O,2.88
CCCC1CCC(c2ccc(I)cc2)CC1,2.83
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,2.82
CCOCOC1CCCCCCCCCCC1,2.74
CCOc1ccc(Br)c(F)c1F,2.69
Cc1cc(-c2cc(C)c(O)c(C)c2C)c(C)c(C)c1O,2.65
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.58
Cn1cc(C(O)=Nc2cccc3c2C2CCC3C2=C(Cl)Cl)c(C(F)F)n1,2.52
Cc1ccccc1Oc1ccccc1C,2.52
N#CC(=C1CCCCC1)c1ccccc1,2.5
O=C1C(c2ccc3cc(S(=O)(=O)O)cc(N4C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C4=O)c3n2)=C(O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,2.48
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.48
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl,2.46
CCN(CC)C(=S)SSC(=S)N(CC)CC,2.35
c1ccc2c(OCC3CO3)c3ccccc3c(OCC3CO3)c2c1,2.29
CC(=O)OC1CCCCC1C(C)(C)C,2.28
CC(S)CC(=O)OCC(COC(=O)CC(C)S)(COC(=O)CC(C)S)COC(=O)CC(C)S,2.23
FC(F)(F)c1ccc(Cl)cc1,2.21
CCCc1ccc(C2OC(C(O)CO)C3OC(c4ccc(CCC)cc4)OC(CCC)C3O2)cc1,2.18
CC=CC(=O)C1C(C)C=CCC1(C)C,2.14
CC(C)C1CCC(C)(c2ccc(O)cc2)CC1c1ccc(O)cc1,2.12
C=CC1CCC(C2CCC(c3ccc(C)cc3)CC2)CC1,2.08
CCCCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,2.07
CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,2.02
CCCCCCCCCC[n+]1cccc(COCCCCOCc2ccc[n+](CCCCCCCCCC)c2)c1,2
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,2.15
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,1.91
CCCc1ccc(-c2ccc(-c3ccc(CC)cc3)cc2F)cc1,1.93
O=C(c1ccccc1)c1cc(Cl)ccc1Cl,1.89
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.89
CCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,1.87
C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.87
C1CC[N+]2(C1)CCCC2,1.85
CCCc1ccc(-c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1,1.81
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)NC(=O)Nc1cccc(-c2nn3nc(C(C)(C)C)c(Cl)c3[nH]2)c1,1.81
CCCCN(CCCC)c1ccc([N+](=C2C=CC(=[N+](c3ccc(N(CCCC)CCCC)cc3)c3ccc(N(CCCC)CCCC)cc3)C=C2)c2ccc(N(CCCC)CCCC)cc2)cc1,1.8
CC(C)CC(C)c1sccc1N,1.78
CCCCC(CC)C(=O)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1,1.77
CC(C)(C)c1ccc(O)c([N+](=O)[O-])c1,1.76
CCCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.76
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.76
O=C(O)C1CC2CC1C1C3C=CC(C3)C21,1.72
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.72
CCn1cc[n+](C)c1C,1.71
FP1(F)=NP(F)(F)=NP(F)(Oc2ccccc2)=N1,1.71
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1.36
CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,1.72
Oc1ccc(-c2ccccc2)cc1,1.65
c1ccc(OP2(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=N2)cc1,1.64
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,1.61
CC(=O)Oc1ccc(C(C)(C)CC(C)(C)C)cc1C1C(=O)Oc2ccc(C(C)(C)CC(C)(C)C)cc21,1.59
Cc1cc(N=Nc2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(N=Nc4c(Nc5ccccc5)ccc5c(O)c(N=Nc6ccc7c(O)c(N=Nc8ccccc8S(=O)(=O)O)c(S(=O)(=O)O)cc7c6)c(S(=O)(=O)O)cc45)ccc3c2O)c(OCCCS(=O)(=O)O)cc1N=Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,1.59
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.57
CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(C(C)(C)C)c(O)cc2C)cc1C(C)(C)C,1.49
COC(F)(F)C(F)(F)C(F)(F)F,1.46
[N-]=[N+]=C(S(=O)(=O)C1CCCC2(C1)OCCO2)S(=O)(=O)C1CCCC2(C1)OCCO2,1.43
O=P(O)(O)c1ccccc1,1.42
CC1CCCCC1NC(=O)CC(CC(=O)NC1CCCCC1C)C(=O)NC1CCCCC1C,1.41
CCCCc1ccc(-c2ccc(-c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)cc1,1.41
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,1.3
CCC(COCC(F)(F)C(F)(F)F)OC(=O)CC(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)C(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)S(=O)(=O)O,1.29
CCCC1CCC(C2CCC(C(F)(F)Oc3cc(F)c(F)c(F)c3)CC2)CC1,1.28
