SMILES,Predicted logBCF
[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,0.452595154
C[N+](C)([O-])CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.905106368
FC(F)(F)CC[Si](Cl)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)F,2.353483988
CC[Si](CC)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC,1.933986261
C[N+](C)([O-])CCCNC(=O)C1(F)C(F)(F)C(OC(F)(F)F)C(F)(OC(F)(F)F)C(F)(OC(F)(F)F)C1(F)F,1.745272598
CN(C)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.17006155
CO[Si](CCC(F)(F)F)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)F,2.11420029
CCO[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.955638188
CCCCCCCCCCC(F)(F)C(F)(F)F,2.374741237
FC(F)C(F)(F)OC[C@@H](CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,2.280415623
OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,1.517482532
CN(CCC[N+](C)(C)[O-])S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.562304845
CCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.382653984
CC1=CC=C(C=C1)S([O-])(=O)=O.C[N+](C)(C)CCOCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.134330607
[Br-].C[N+]1(CCO)CCN(CC1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.191592319
OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)OC(F)(F)F,1.146176322
OC(=O)C(F)(F)C(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,1.522600587
OC(=O)COC(F)(F)C(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,1.575519219
OC(=O)COC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,1.606449377
[I-].CC[N+](C)(CC)CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.23518569
C[N+](C)(CCO)CCCN(CCCS([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.320853705
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,1.730180948
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S([O-])(=O)=O,1.620340941
OCC(SCCC(O)=O)C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.599896416
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,2.174262842
OS(=O)(=O)CC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.990577615
OS(=O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.982587805
CNCCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.499359532
